Average Location Customer Mix and Growth,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Support Subscriptions,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Acquired,Year 1 Customers,50,,,Grown,Year 1 Customers,50,,,,,,,,,,,
Year,Annual Growth,Basic,Enthusiast,Luxury,Year,Annual Growth,Basic,Enthusiast,Luxury,,,,,,,,,
Year 1,0.05,0.05,0.2,0.75,Year 1,0.05,0.1,0.5,0.4,,,,,,,,,
Year 2,0.1,0.15,0.3,0.55,Year 2,0.1,0.15,0.55,0.3,,,,,,,,,
Year 3,0.15,0.25,0.4,0.35,Year 3,0.15,0.15,0.55,0.3,,,,,,,,,
Year 4,0.2,0.15,0.55,0.3,Year 4,0.2,0.15,0.55,0.3,,,,,,,,,
Year 5,0.2,0.15,0.55,0.3,Year 5,0.2,0.15,0.55,0.3,,,,,,,,,
Year 6,0.2,0.15,0.55,0.3,Year 6,0.2,0.15,0.55,0.3,,,,,,,,,
Year 7,0.2,0.15,0.55,0.3,Year 7,0.2,0.15,0.55,0.3,,,,,,,,,
Number of Customers,Acquired,,,,Number of Customers,Grown,,,,,,,,,,,,
,Total Customers,Basic,Enthusiast,Luxury,,Total Customers,Basic,Enthusiast,Luxury,,,,,,,,,
Year 1,50,2.5,10,37.5,Year 1,50,5,25,20,,,,,,,,,
Year 2,52.5,7.875,15.75,28.875,Year 2,52.5,7.875,28.875,15.75,,,,,,,,,
Year 3,57.75,14.4375,23.1,20.2125,Year 3,57.75,8.6625,31.7625,17.325,,,,,,,,,
Year 4,66.4125,9.961875,36.526875,19.92375,Year 4,66.4125,9.961875,36.526875,19.92375,,,,,,,,,
Year 5,79.695,11.95425,43.83225,23.9085,Year 5,79.695,11.95425,43.83225,23.9085,,,,,,,,,
Year 6,95.634,14.3451,52.5987,28.6902,Year 6,95.634,14.3451,52.5987,28.6902,,,,,,,,,
Year 7,114.7608,17.21412,63.11844,34.42824,Year 7,114.7608,17.21412,63.11844,34.42824,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Average Location Project Type Mix,,,,,,,,,,,,,,,,,,
New Home Build,0.3,,,,,,,,,,,,,,,,,
Renovation,0.25,,,,,,,,,,,,,,,,,
Small Improvement,0.45,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7
Acquired,Basic,,,,Grown,Basic,,,,,Luxury Hardware Revenue,17417733.75,31409979.86,41657106.5,54385173.81,83642690.74,126444543.5,173196719.8
,New Home Build,Renovation,Small Improvement,Total Customers,,New Home Build,Renovation,Small Improvement,Total Customers,,Luxury Hardware Margin,,,,,,,
Year 1,0.75,0.625,1.125,2.5,Year 1,1.5,1.25,2.25,5,,Luxury Labor Revenue,2028750,3658512.5,4823015,6291424.25,9679186.538,14640532.53,20042665.85
Year 2,2.3625,1.96875,3.54375,7.875,Year 2,2.3625,1.96875,3.54375,7.875,,Luxury Customers,75,135.25,178.3,232.585,357.82575,541.23965,740.94883
Year 3,4.33125,3.609375,6.496875,14.4375,Year 3,2.59875,2.165625,3.898125,8.6625,,,,,,,,,
Year 4,2.9885625,2.49046875,4.48284375,9.961875,Year 4,2.9885625,2.49046875,4.48284375,9.961875,,Revenue Per Luxury Customer,259286.45,259286.45,260684.9215,260879.2401,260802.5758,260670.2521,260799.9066
Year 5,3.586275,2.9885625,5.3794125,11.95425,Year 5,3.586275,2.9885625,5.3794125,11.95425,,# of New Luxury Sub Customers,60,108.2,142.64,186.068,286.2606,432.99172,592.759064
Year 6,4.30353,3.586275,6.455295,14.3451,Year 6,4.30353,3.586275,6.455295,14.3451,,Cumulative Sub Customers,60,168.2,310.84,496.908,783.1686,1216.16032,1808.919384
Year 7,5.164236,4.30353,7.746354,17.21412,Year 7,5.164236,4.30353,7.746354,17.21412,,Churning Luxury Sub Customers,,12,33.64,117.608,175.2416,278.21912,430.820304
,,,,,,,,,,,Total Luxury Sub Customers,60,156.2,277.2,379.3,607.927,937.9412,1378.09908
Acquired,Enthusiast,,,,Grown,Enthusiast,,,,,,,,,,,,
,New Home Build,Renovation,Small Improvement,Total Customers,,New Home Build,Renovation,Small Improvement,Total Customers,,Support Revenue Per Customer,18150.0515,18150.0515,18247.9445,18261.54681,18256.1803,18246.91764,18255.99346
Year 1,3,2.5,4.5,10,Year 1,7.5,6.25,11.25,25,,Luxury Support Subscription Revenue,1089003.09,2835038.044,5058330.216,6926604.704,11098424.92,17114535.83,25158567.8
Year 2,4.725,3.9375,7.0875,15.75,Year 2,8.6625,7.21875,12.99375,28.875,,,,,,,,,
Year 3,6.93,5.775,10.395,23.1,Year 3,9.52875,7.940625,14.293125,31.7625,,Support Cost Per customer,12705.03605,12705.03605,12773.56115,12783.08277,12779.32621,12772.84235,12779.19542
Year 4,10.9580625,9.13171875,16.43709375,36.526875,Year 4,10.9580625,9.13171875,16.43709375,36.526875,,Luxury Support Costs,762302.163,1984526.631,3540831.151,4848623.293,7768897.446,11980175.08,17610997.46
Year 5,13.149675,10.9580625,19.7245125,43.83225,Year 5,13.149675,10.9580625,19.7245125,43.83225,,,,,,,,,
Year 6,15.77961,13.149675,23.669415,52.5987,Year 6,15.77961,13.149675,23.669415,52.5987,,,,,,,,,
Year 7,18.935532,15.77961,28.403298,63.11844,Year 7,18.935532,15.77961,28.403298,63.11844,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Acquired,Luxury,,,,Grown,Luxury,,,,,,,,,,,,
,New Home Build,Renovation,Small Improvement,Total Customers,,New Home Build,Renovation,Small Improvement,Total Customers,,,,,,,,,
Year 1,11.25,9.375,16.875,37.5,Year 1,6,5,9,20,,,,,,,,,
Year 2,8.6625,7.21875,12.99375,28.875,Year 2,4.725,3.9375,7.0875,15.75,,,,,,,,,
Year 3,6.06375,5.053125,9.095625,20.2125,Year 3,5.1975,4.33125,7.79625,17.325,,,,,,,,,
Year 4,5.977125,4.9809375,8.9656875,19.92375,Year 4,5.977125,4.9809375,8.9656875,19.92375,,,,,,,,,
Year 5,7.17255,5.977125,10.758825,23.9085,Year 5,7.17255,5.977125,10.758825,23.9085,,,,,,,,,
Year 6,8.60706,7.17255,12.91059,28.6902,Year 6,8.60706,7.17255,12.91059,28.6902,,,,,,,,,
Year 7,10.328472,8.60706,15.492708,34.42824,Year 7,10.328472,8.60706,15.492708,34.42824,,,,,,,,,
