Services Matrix,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
Operations,,1472392.199,2883477.16,4119644.502,5337128.646,7809243.019,11115219.71,14632528.56,,,"Executive (HR, Mgmt, etc)",2591168.383159565,,,,,,,,,,,,,,,,,,,,
"Executive (HR, Mgmt, etc)",,588956.8798,1062333.691,1373214.834,1883692.463,2440388.443,3705073.238,5225903.057,,,Debt Service,951300,,,,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,,,,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7
Corporate Overhead,,3165643.229,6070478.232,8468158.144,10988206.04,15618486.04,22230439.43,29265057.12,,,,,,,Basic Hardware Revenue,20336.1275,114899.120375,269718.3325625,363513.07851125003,534359.132711,797332.3611257001,1180446.81947959,,,Basic Hardware Revenue,20336.1275,114899.1204,269718.3326,363513.0785,534359.1327,797332.3611,1180446.819
,,,,,,,,,,,EBITDA,37397992.07076156,,,Basic Hardware COGS,16622.98853,95413.73801624999,219945.52191375004,298371.85137455625,439634.9466515644,657553.2021145991,972991.8249874285,,,Basic Hardware COGS,16622.98853,95413.73802,219945.5219,298371.8514,439634.9467,657553.2021,972991.825
EBITDA,,1728435.941,3339786.528,5081808.12,7288529.64,12623342.9,20512937.47,30320885.31,,,,,,,Basic Hardware Margin,3713.138975,19485.382358749994,49772.810648750004,65141.22713669375,94724.18605943563,139779.15901110088,207454.99449216167,,,Basic Hardware Margin,3713.138975,19485.38236,49772.81065,65141.22714,94724.18606,139779.159,207454.9945
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0
Debt Service,,398250,398250,1059750,1059750,1480950,1480950,1480950,,,,,,,Basic Labor Hours,149.31,843.6015,1941.0300000000002,2622.2195475000003,3857.6216857500003,5765.63775165,8531.55593073,,,Basic Labor Hours,149.31,843.6015,1941.03,2622.219548,3857.621686,5765.637752,8531.555931
,,,,,,,,,,,,,,,Basic Labor Revenue,18663.75,105450.1875,242628.75,327777.44343750004,482202.71071875,720704.71895625,1066444.49134125,,,Basic Labor Revenue,18663.75,105450.1875,242628.75,327777.4434,482202.7107,720704.719,1066444.491
,,,,,,,,,,,,,,,Basic Labor Internal COGS,13437.9,75924.135,174692.7,235999.75927500002,347185.9517175,518907.3976485,767840.0337657,,,Basic Labor Internal COGS,13437.9,75924.135,174692.7,235999.7593,347185.9517,518907.3976,767840.0338
Locations,,,,,,,,,,,,,,,Basic Labor Margin,5225.85,29526.052499999998,67936.05,91777.68416250001,135016.75900125003,201797.32130775,298604.45757555,,,Basic Labor Margin,5225.85,29526.0525,67936.05,91777.68416,135016.759,201797.3213,298604.4576
Total Customers,,100,255,423,613.575,939.3775,1415.3405000000002,2010.9961000000003,,,Hardware Revenue,200638850.76061404,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0
Grown (New),,0,2,2,3,2,4,5,,,,,,,Basic Customers,5,28.25,65,87.81125,129.181625,193.076075,285.69941500000004,,,Basic Customers,5,28.25,65,87.81125,129.181625,193.076075,285.699415
Acquired (New),,2,1,1,2,1,3,3,,,,,,,Basic Support Customers (New),2,11.3,26,35.1245,51.67265,77.23043,114.279766,,,Basic Support Customers (New),2,11.3,26,35.1245,51.67265,77.23043,114.279766
Total (New),,2,3,3,5,3,7,8,,,,,,,Basic Support Subscribers (Cumulative),2,13.3,39.3,74.4245,126.09715,203.32758,317.607346,,,Basic Support Subscribers (Cumulative),2,13.3,39.3,74.4245,126.09715,203.32758,317.607346
Total Cumulative,,2,5,8,11,16,23,31,,,,,,,Churning Subscribers,,0.6,3.99,22.383,37.9398,64.27635,102.713643,,,Churning Subscribers,,0.6,3.99,22.383,37.9398,64.27635,102.713643
,,,,,,,,,,,,,,,Total Subscribers,2,12.7,35.31,52.0415,88.15735,139.05123,214.893703,,,Total Subscribers,2,12.7,35.31,52.0415,88.15735,139.05123,214.893703
Total Support Customers,,72,221.65,441.385,641.188375,1063.847913,1670.037855,2508.473861,,,,,,,Revenue of Support,779.99755,4952.984443,13916.13499,20484.73043,34686.58883,54663.66643,84501.88707,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,,,,,,,Cost of Support,545.998285,3467.08911,9741.294492,14339.3113,24280.61218,38264.5665,59151.32095,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,,,,,,,Basic Revenue,39779.87505,225302.2923,526263.2176,711775.2524,1051248.432,1572700.747,2331393.198,,,Basic Revenue,39779.87505,225302.2923,526263.2176,711775.2524,1051248.432,1572700.747,2331393.198
Capital Investment Cost Predicted,,6750000,11375000,11375000,18750000,11375000,26125000,30125000,,,,,,,Basic Costs,30606.88681,174804.9621,404379.5164,548710.9219,811101.5106,1214725.166,1799983.18,,,Revenue of Support,779.99755,4952.984443,13916.13499,20484.73043,34686.58883,54663.66643,84501.88707
Cash Cushion % Target,,0.25,0.1892981326,0.1634313586,0.1468494987,0.127675181,0.1130395865,0.1030800202,,,,,,,Basic Margin,9172.98824,50497.33019,121883.7011,163064.3304,240146.9217,357975.5802,531410.0182,,,Cost of Support,545.998285,3467.08911,9741.294492,14339.3113,24280.61218,38264.5665,59151.32095
Cash Cushion Target,,1687500,2153266.258,1859031.704,2753428.1,1452305.184,2953159.196,3105285.608,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Investment Needed,,7107314.059,10586729.73,9211973.585,15274648.46,1684912.286,10046171.73,4390350.301,,,,,,,Enthusiast Hardware Revenue,374843.5,1714909.0125,3373687.2525000004,5506708.8691875,8496631.037462503,12789711.9737675,18486619.988895997,,,Enthusiast Hardware Revenue,374843.5,1714909.013,3373687.253,5506708.869,8496631.037,12789711.97,18486619.99
Debt Portion of Investment,4425000,0,0,7350000,0,4680000,0,0,,,,,,,Enthusiast Hardware COGS,297534.275,1365909.1956249997,2683452.1684375,4377601.550964063,6755043.289437031,10169949.151729593,14700299.670899417,,,Enthusiast Hardware COGS,297534.275,1365909.196,2683452.168,4377601.551,6755043.289,10169949.15,14700299.67
Equity Investment,13275000,0,0,17150000,0,7020000,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Debt Portion of Investment (Cumulative),4425000,4425000,4425000,11775000,11775000,16455000,16455000,16455000,,,,,,,Enthusiast Hardware Margin,3713.138975,19485.382358749994,49772.810648750004,65141.22713669375,94724.18605943563,139779.15901110088,207454.99449216167,,,Enthusiast Hardware Margin,3713.138975,19485.38236,49772.81065,65141.22714,94724.18606,139779.159,207454.9945
Total Investment Target,17700000,0,0,24500000,,11700000,,,53900000,,,,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0
Capital Flow,17700000,-7107314.059,-10586729.73,15288026.42,-15274648.46,10015087.71,-10046171.73,-4390350.301,,,,,,,Enthusiast Labor Hours,2382.4,10899.480000000003,21405.86400000001,34923.45270000001,53886.32929000002,81123.67119800003,117255.51648760003,,,Enthusiast Labor Hours,2382.4,10899.48,21405.864,34923.4527,53886.32929,81123.6712,117255.5165
Capital Balance (Cumulative),17700000,10592685.94,5956.211391,15293982.63,19334.16726,10034421.88,-11749.84462,-4402100.145,,,,,,,Enthusiast Labor Revenue,297800,1362435.0000000005,2675733.000000001,4365431.587500002,6735791.161250003,10140458.899750004,14656939.560950005,,,Enthusiast Labor Revenue,297800,1362435,2675733,4365431.588,6735791.161,10140458.9,14656939.56
Corporate Value ,,13081429.71,8940102.325,34009831.35,31975512.01,81942822.17,168149687.4,297512195.6,,,,,,,Enthusiast Labor Internal COGS,214416,980953.2000000002,1926527.7600000007,3143110.7430000016,4849769.636100002,7301130.407820003,10552996.483884005,,,Enthusiast Labor Internal COGS,214416,980953.2,1926527.76,3143110.743,4849769.636,7301130.408,10552996.48
,,,,,,,,,,,,,,,Enthusiast Labor Margin,83384,381481.8000000001,749205.2400000002,1222320.8445000006,1886021.5251500008,2839328.4919300005,4103943.0770660015,,,Enthusiast Labor Margin,83384,381481.8,749205.24,1222320.845,1886021.525,2839328.492,4103943.077
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0
,,,,,,,,,,,Metric,Year 7,,,Enthusiast Customers,20,91.5,179.70000000000002,293.17875000000004,452.37012500000003,681.0247750000001,984.3478550000001,,,Enthusiast Customers,20,91.5,179.7,293.17875,452.370125,681.024775,984.347855
,,,,,,,,,,,Hardware Revenue,200638850.76061404,,,Support Customers (New),10,45.75,89.85,146.589375,226.1850625,340.5123875,492.1739275,,,Support Customers (New),10,45.75,89.85,146.589375,226.1850625,340.5123875,492.1739275
,,,,,,,,,,,Hardware COGS,158301944.1364081,,,Support Subscribers (Cumulative),10,55.75,145.6,292.189375,518.3744375,858.886825,1351.060753,,,Support Subscribers (Cumulative),10,55.75,145.6,292.189375,518.3744375,858.886825,1351.060753
,,,,,,,,,,,Hardware Margin,42336906.62420595,,,Churning Subscribers,,3,16.725,82.3425,150.610875,265.8414,435.579675,,,Churning Subscribers,,3,16.725,82.3425,150.610875,265.8414,435.579675
,,,,,,,,,,,,,,,Total Subscribers,10,52.75,128.875,209.846875,367.7635625,593.045425,915.4810775,,,Total Subscribers,10,52.75,128.875,209.846875,367.7635625,593.045425,915.4810775
,,,,,,,,,,,Labor Hours,271041.74397101003,,,Revenue of Support,23542.5225,124186.8062,303691.3325,494628.7809,866845.6825,1397752.828,2157734.282,,,Revenue of Support,23542.5225,124186.8062,303691.3325,494628.7809,866845.6825,1397752.828,2157734.282
,,,,,,,,,,,Labor Revenue,33880217.99637625,,,Cost of Support,16479.76575,86930.76433,212583.9328,346240.1467,606791.9777,978426.9796,1510413.998,,,Cost of Support,16479.76575,86930.76433,212583.9328,346240.1467,606791.9777,978426.9796,1510413.998
,,,,,,,,,,,Labor Internal Cost,24393756.957390904,,,Enthusiast Revenue,696186.0225,3201530.819,6353111.585,10366769.24,16099267.88,24327923.7,35301293.83,,,Enthusiast Revenue,696186.0225,3201530.819,6353111.585,10366769.24,16099267.88,24327923.7,35301293.83
,,,,,,,,,,,Labor Margin,9486461.03898535,,,Enthusiast Costs,528430.0408,2433793.16,4822563.861,7866952.441,12211604.9,18449506.54,26763710.15,,,Enthusiast Costs,528430.0408,2433793.16,4822563.861,7866952.441,12211604.9,18449506.54,26763710.15
,,,,,,,,,,,,,,,Enthusiast Margin,167755.9818,767737.6587,1530547.724,2499816.797,3887662.978,5878417.162,8537583.68,,,,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7
,,,,,,,,,,,Gross Revenue,234519068.75699028,,,,,,,,,,,,,Luxury Hardware Revenue,17417733.75,31409979.86,41657106.5,54385173.81,83642690.74,126444543.5,173196719.8
,,,,,,,,,,,"Net Revenue 
(Hardware Margin + Labor Revenue)",51823367.663191296,,,,,,,,,,,,,Luxury Hardware Margin,,,,,,,
,,,,,,,,,,,,,,,,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,,,Luxury Labor Revenue,2028750,3658512.5,4823015,6291424.25,9679186.538,14640532.53,20042665.85
,,,,,,,,,,,Marketing,3627635.736423391,,,Luxury Hardware Revenue,17417733.75,31409979.86,41657106.5,54385173.81,83642690.74,126444543.5,173196719.8,,,Luxury Customers,75,135.25,178.3,232.585,357.82575,541.23965,740.94883
,,,,,,,,,,,Operations,7255271.472846782,,,Luxury Hardware Margin,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Executive (Management, HR, Legal, etc.)",2591168.383159565,,,Luxury Labor Revenue,2028750,3658512.5,4823015,6291424.25,9679186.538,14640532.53,20042665.85,,,Revenue Per Luxury Customer,259286.45,259286.45,260684.9215,260879.2401,260802.5758,260670.2521,260799.9066
,,,,,,,,,,,Debt Service,951300,,,Luxury Customers,75,135.25,178.3,232.585,357.82575,541.23965,740.94883,,,# of New Luxury Sub Customers,60,108.2,142.64,186.068,286.2606,432.99172,592.759064
,,,,,,,,,,,Corporate Overhead,14425375.592429737,,,,,,,,,,,,,Cumulative Sub Customers,60,168.2,310.84,496.908,783.1686,1216.16032,1808.919384
,,,,,,,,,,,,,,,Revenue Per Luxury Customer,259286.45,259286.45,260684.9215,260879.2401,260802.5758,260670.2521,260799.9066,,,Churning Luxury Sub Customers,,12,33.64,117.608,175.2416,278.21912,430.820304
,,,,,,,,,,,EBITDA,37397992.07076156,,,# of New Luxury Sub Customers,60,108.2,142.64,186.068,286.2606,432.99172,592.759064,,,Total Luxury Sub Customers,60,156.2,277.2,379.3,607.927,937.9412,1378.09908
,,,,,,,,,,,,,,,Cumulative Sub Customers,60,168.2,310.84,496.908,783.1686,1216.16032,1808.919384,,,,,,,,,,
,,,,,,,,,,,,,,,Churning Luxury Sub Customers,,12,33.64,117.608,175.2416,278.21912,430.820304,,,Support Revenue Per Customer,18150.0515,18150.0515,18247.9445,18261.54681,18256.1803,18246.91764,18255.99346
,,,,,,,,,,,,,,,Total Luxury Sub Customers,60,156.2,277.2,379.3,607.927,937.9412,1378.09908,,,Luxury Support Subscription Revenue,1089003.09,2835038.044,5058330.216,6926604.704,11098424.92,17114535.83,25158567.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Support Revenue Per Customer,18150.0515,18150.0515,18247.9445,18261.54681,18256.1803,18246.91764,18255.99346,,,Support Cost Per customer,12705.03605,12705.03605,12773.56115,12783.08277,12779.32621,12772.84235,12779.19542
,,,,,,,,,,,,,,,Luxury Support Subscription Revenue,1089003.09,2835038.044,5058330.216,6926604.704,11098424.92,17114535.83,25158567.8,,,Luxury Support Costs,762302.163,1984526.631,3540831.151,4848623.293,7768897.446,11980175.08,17610997.46
,,,,,,,,,,,,,,,,,,,,,,,,,Luxury Revenue,20535486.84,,,,,,
,,,,,,,,,,,,,,,Support Cost Per customer,12705.03605,12705.03605,12773.56115,12783.08277,12779.32621,12772.84235,12779.19542,,,Luxury Costs,,,,,,,
,,,,,,,,,,,,,,,Luxury Support Costs,762302.163,1984526.631,3540831.151,4848623.293,7768897.446,11980175.08,17610997.46,,,Total Support Customers,72,221.65,441.385,641.188375,1063.847913,1670.037855,2508.473861
,,,,,,,,,,,,,,,Luxury Revenue,20535486.84,,,,,,,,,Total Support Revenue,1113325.61,2964177.835,5375937.684,7441718.216,11999957.19,18566952.33,27400803.97
,,,,,,,,,,,,,,,Luxury Costs,,,,,,,,,,Total Support Costs,779327.927,2074924.484,3763156.379,5209202.751,8399970.036,12996866.63,19180562.78
,,,,,,,,,,,,,,,Luxury Margin,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Total Support Customers,72,221.65,441.385,641.188375,1063.847913,1670.037855,2508.473861,,,,,,,,,,
,,,,,,,,,,,,,,,Total Support Revenue,1113325.61,2964177.835,5375937.684,7441718.216,11999957.19,18566952.33,27400803.97,,,,,,,,,,
,,,,,,,,,,,,,,,Total Support Costs,779327.927,2074924.484,3763156.379,5209202.751,8399970.036,12996866.63,19180562.78,,,,,,,,,,
